,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit,query_genre
0,Cupid - Twin Ver.,The Beginning: Cupid,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4,FIFTY FIFTY,98,2023-02-24,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,174253,False,k-pop
1,Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,Jung Kook,97,2023-07-14,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,184400,True,k-pop
2,Like Crazy,FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,96,2023-03-24,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR,212241,False,k-pop
3,MONEY,LALISA,https://open.spotify.com/album/4ASxFYWyk2216OloHoaSh8,LISA,96,2021-09-10,https://open.spotify.com/track/45OX2jjEw1l7lOFJfDP9fv,168227,False,k-pop
4,Take Two,Take Two,https://open.spotify.com/album/3jeQDa9OFZ6GndLindHx3k,BTS,95,2023-06-09,https://open.spotify.com/track/5IAESfJjmOYu7cHyX557kz,229953,False,k-pop
5,Like Crazy,Like Crazy (Remixes),https://open.spotify.com/album/639nejcoHHwxJCKqr35ww2,Jimin,93,2023-03-26,https://open.spotify.com/track/58BWnoFDNaeM0vwA0K3fqb,212241,False,k-pop
6,Super Shy,NewJeans 'Super Shy',https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I,NewJeans,93,2023-07-07,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,154666,False,k-pop
7,Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,Jung Kook,93,2023-07-14,https://open.spotify.com/track/5Avril3IZ26DPVFHbJX8o6,184160,False,k-pop
8,OMG,NewJeans 'OMG',https://open.spotify.com/album/45ozep8uHHnj5CCittuyXj,NewJeans,92,2023-01-02,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,212253,False,k-pop
9,Still With You,Still With You,https://open.spotify.com/album/0i3baFZqWSrjjgTWrhKunB,Jung Kook,91,2020-06-05,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7,239905,False,k-pop
10,アイドル,アイドル,https://open.spotify.com/album/7yMkS4NCpG0FH6NoaH3F0a,YOASOBI,91,2023-04-12,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,213233,False,j-pop
11,アイドル,アイドル,https://open.spotify.com/album/7yMkS4NCpG0FH6NoaH3F0a,YOASOBI,91,2023-04-12,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,213233,False,japanese
12,Bite Me,DARK BLOOD,https://open.spotify.com/album/7q65W5gVANjh1j1KXLeU0f,ENHYPEN,89,2023-05-22,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa,157531,False,k-pop
13,Ditto,Ditto,https://open.spotify.com/album/7bnqo1fdJU9nSfXQd3bSMe,NewJeans,89,2022-12-19,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W,185506,False,k-pop
14,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,88,2023-05-01,https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu,182148,False,k-pop
15,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],https://open.spotify.com/album/0gr5OmB74UhoANEXwYT3gE,Jung Kook,88,2022-11-20,https://open.spotify.com/track/1RDvyOk4WtPCtoqciJwVn8,201391,False,k-pop
16,My You,My You,https://open.spotify.com/album/2JtVLn2oCVjOik77fh75uU,Jung Kook,88,2022-06-13,https://open.spotify.com/track/0pNFrM5L0te1EXGxveeYiR,165070,False,k-pop
17,New Jeans,NewJeans 'Super Shy',https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I,NewJeans,88,2023-07-07,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,108986,False,k-pop
18,Hype Boy,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,88,2022-08-01,https://open.spotify.com/track/0a4MMyCrzT0En247IhqZbD,179026,False,k-pop
19,Super,SEVENTEEN 10th Mini Album 'FML',https://open.spotify.com/album/1JBzeeCJ3axQMVkqWbKh0I,SEVENTEEN,87,2023-04-24,https://open.spotify.com/track/3AOf6YEpxQ894FmrwI9k96,200386,False,k-pop
20,FLOWER,ME,https://open.spotify.com/album/2xvV55nQYyhozbXtbqwPql,JISOO,87,2023-03-31,https://open.spotify.com/track/0bC7GKnxh9W9JIvJ6HVWxc,174216,False,k-pop
21,Like Crazy (English Version),FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,87,2023-03-24,https://open.spotify.com/track/0u8rZGtXJrLtiSe34FPjGG,212253,False,k-pop
22,The Astronaut,The Astronaut,https://open.spotify.com/album/6nT2VfGN07ar1vdZyJY6ox,JIN,86,2022-10-28,https://open.spotify.com/track/0h7QMc9ZRzA9QJrbEHytn2,282463,False,k-pop
23,Cupid,The Beginning: Cupid,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4,FIFTY FIFTY,86,2023-02-24,https://open.spotify.com/track/5mg3VB3Qh7jcR5kAAC4DSV,174253,False,k-pop
24,"Eve, Psyche & The Bluebeard’s wife",UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,86,2023-05-01,https://open.spotify.com/track/4QhnNyKDsAkXPwHkSnuc89,185538,False,k-pop
25,Attention,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,85,2022-08-01,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,180066,False,k-pop
26,The Planet,The Planet,https://open.spotify.com/album/7uaI73cqw8YC2ViewZAai5,BTS,85,2023-05-12,https://open.spotify.com/track/4IJsVXbSeGPUrgwpVoHmlg,178156,False,k-pop
27,Run BTS,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,85,2022-06-10,https://open.spotify.com/track/69xohKu8C1fsflYAiSNbwM,204939,False,k-pop
28,Set Me Free Pt.2,Set Me Free Pt.2,https://open.spotify.com/album/781fDX4OibkZA9fj56Ycbz,Jimin,85,2023-03-17,https://open.spotify.com/track/59hBR0BCtJsfIbV9VzCVAp,200929,True,k-pop
29,Do It Like That,Do It Like That,https://open.spotify.com/album/0Z1ebaoFTQDDzebTh3fD2P,TOMORROW X TOGETHER,85,2023-07-07,https://open.spotify.com/track/7kaFsQygyiCqRboWCXztxZ,145065,False,k-pop
30,First Class,Come Home The Kids Miss You,https://open.spotify.com/album/2eE8BVirX9VF8Di9hD90iw,Jack Harlow,84,2022-05-06,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC,173947,True,k-pop
31,Christmas Tree,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",https://open.spotify.com/album/4210mSQ3r10AsJMZEYAH5l,V,84,2021-12-24,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O,209946,False,korean
32,KICK BACK,KICK BACK,https://open.spotify.com/album/6RH1fEIz8HVXregzz5Xp2B,Kenshi Yonezu,84,2022-10-12,https://open.spotify.com/track/3khEEPRyBeOUabbmOPJzAG,193495,False,j-pop
33,Rover,Rover - The 3rd Mini Album,https://open.spotify.com/album/5gzd4IZ9KTwW6Hhgll1K7U,KAI,84,2023-03-13,https://open.spotify.com/track/3WUyu94psXrYV6HZbXgcFA,174506,False,k-pop
34,Spicy,MY WORLD - The 3rd Mini Album,https://open.spotify.com/album/69xF8jTd0c4Zoo7DT3Rwrn,aespa,84,2023-05-08,https://open.spotify.com/track/1ULdASrNy5rurl1TZfFaMP,197040,False,k-pop
35,Tally,BORN PINK,https://open.spotify.com/album/0S4pP8MBY9p7ngFWIZQAJv,BLACKPINK,84,2022-09-16,https://open.spotify.com/track/6Ho58vQUjGnBU9m8Z6uNcv,184248,True,k-pop
36,Sugar Rush Ride,The Name Chapter: TEMPTATION,https://open.spotify.com/album/7gkb4MxKe9rnoR3wxbJXJg,TOMORROW X TOGETHER,83,2023-01-27,https://open.spotify.com/track/0rhI6gvOeCKA502RdJAbfs,186570,False,k-pop
37,Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),https://open.spotify.com/album/6nvSZLAsbg56fGSCVm8fL9,Jung Kook,83,2022-02-11,https://open.spotify.com/track/7CAdT0HdiQNlt1C7xk2hep,210928,False,k-pop
38,Shut Down,BORN PINK,https://open.spotify.com/album/0S4pP8MBY9p7ngFWIZQAJv,BLACKPINK,83,2022-09-16,https://open.spotify.com/track/6tCd8bPvYnceDG7W9M1RMk,175889,False,k-pop
39,LOVE DIVE,LOVE DIVE,https://open.spotify.com/album/1AFVTHHm7kKoQ6Rgb25x3p,IVE,83,2022-04-05,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi,177186,False,k-pop
40,ANTIFRAGILE,ANTIFRAGILE,https://open.spotify.com/album/3u0ggfmK0vjuHMNdUbtaa9,LE SSERAFIM,83,2022-10-17,https://open.spotify.com/track/4fsQ0K37TOXa3hEQfjEic1,184444,False,k-pop
41,絆ノ奇跡,絆ノ奇跡,https://open.spotify.com/album/1xml9CR90tJdvTESDk4Q4s,MAN WITH A MISSION,83,2023-04-10,https://open.spotify.com/track/2VBLFxCUyFp5BfmsZpxcis,223320,False,j-pop
42,Cream Soda,EXIST – The 7th Album,https://open.spotify.com/album/4qMcBYh4ZlwDeb7vfgZO61,EXO,83,2023-07-10,https://open.spotify.com/track/42h7yc9Rda1IOMYLACVgld,185320,False,k-pop
43,on the street (with J. Cole),on the street (with J. Cole),https://open.spotify.com/album/70xdtgH5XuYTqBNdNbUwGO,j-hope,83,2023-03-03,https://open.spotify.com/track/5wxYxygyHpbgv0EXZuqb9V,214701,True,k-pop
44,Shoong! (feat. LISA of BLACKPINK),Down to Earth,https://open.spotify.com/album/6q2v2FAOpb3Rk2avT7mxQS,TAEYANG,82,2023-04-25,https://open.spotify.com/track/0oJRiblEiQgTg2hRfnacIt,205101,False,korean
45,Set Me Free Pt.2,FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,82,2023-03-24,https://open.spotify.com/track/1fpj1CJPxY3YvN3AMAEYvt,200929,True,k-pop
46,LALISA,LALISA,https://open.spotify.com/album/4ASxFYWyk2216OloHoaSh8,LISA,82,2021-09-10,https://open.spotify.com/track/2KZ3sNqPogEyMUUH6A5HFy,200689,False,k-pop
47,Face-off,FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,82,2023-03-24,https://open.spotify.com/track/3OdIiWnYRHPYtC313Z0Bwy,229627,True,k-pop
48,As If It's Your Last,As If It's Your Last,https://open.spotify.com/album/7ikmjsvRzDRzxHN0KXSQdv,BLACKPINK,82,2017-06-22,https://open.spotify.com/track/4ZxOuNHhpyOj4gv52MtQpT,213264,False,k-pop
49,Shoong! (feat. LISA of BLACKPINK),Down to Earth,https://open.spotify.com/album/6q2v2FAOpb3Rk2avT7mxQS,TAEYANG,82,2023-04-25,https://open.spotify.com/track/0oJRiblEiQgTg2hRfnacIt,205101,False,k-pop
50,Butter,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,81,2022-06-10,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS,164952,False,k-pop
51,seasons,summer flows 0.02,https://open.spotify.com/album/4R3ERcDOQP7o1Lkok2uO7E,wave to earth,81,2020-08-04,https://open.spotify.com/track/1acVBP8BcK6LTeNeFjfxnh,256000,False,korean
52,青のすみか,青のすみか,https://open.spotify.com/album/4QjNVlIw8Rx6jItSZtn2VS,Tatsuya Kitani,81,2023-07-07,https://open.spotify.com/track/12usPU2WnqgCHAW1EK2dfd,196466,False,japanese
53,Like Crazy (English Version),Like Crazy (Remixes),https://open.spotify.com/album/639nejcoHHwxJCKqr35ww2,Jimin,81,2023-03-26,https://open.spotify.com/track/6EY9e6LyPWmL8hUS5E1P0h,212253,False,k-pop
54,Cookie,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,81,2022-08-01,https://open.spotify.com/track/2DwUdMJ5uxv20EhAildreg,235562,False,k-pop
55,怪獣の花唄,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,81,2020-05-27,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx,224806,False,j-pop
56,怪獣の花唄,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,81,2020-05-27,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx,224806,False,japanese
57,Alone,FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,81,2023-03-24,https://open.spotify.com/track/5Hfnps0jaWFpYg55WOPexG,211250,False,k-pop
58,seasons,summer flows 0.02,https://open.spotify.com/album/4R3ERcDOQP7o1Lkok2uO7E,wave to earth,81,2020-08-04,https://open.spotify.com/track/1acVBP8BcK6LTeNeFjfxnh,256000,False,k-pop
59,GRL GVNG,GRL GVNG,https://open.spotify.com/album/0s6tMsTvOqtqmFxJogsIJS,XG,81,2023-06-30,https://open.spotify.com/track/5OqMZ8In8CkCa0SbknnDPl,188093,False,k-pop
60,They Don't Love It,Jackman.,https://open.spotify.com/album/1ep4OEfNOhvcY85STfEtKy,Jack Harlow,80,2023-04-28,https://open.spotify.com/track/2dSKFFNoNXKo3hPnlwUdPe,113292,True,k-pop
61,Pink Venom,BORN PINK,https://open.spotify.com/album/0S4pP8MBY9p7ngFWIZQAJv,BLACKPINK,80,2022-09-16,https://open.spotify.com/track/5P3o95Jf0YBQRQ4j2XPpfC,186964,False,k-pop
62,Permission to Dance,Permission to Dance,https://open.spotify.com/album/5ExDI42RCtISkQXAgv8dtZ,BTS,80,2021-07-23,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry,187585,False,k-pop
63,Tinnitus (Wanna be a rock),The Name Chapter: TEMPTATION,https://open.spotify.com/album/7gkb4MxKe9rnoR3wxbJXJg,TOMORROW X TOGETHER,80,2023-01-27,https://open.spotify.com/track/0f0SbtoKGe41cX5LzlnX6X,157261,False,k-pop
64,Let Me In,Let Me In,https://open.spotify.com/album/6QcaLmC3oxXlQ3L92VMVHl,EXO,80,2023-06-12,https://open.spotify.com/track/5e6hUjvQG2inD4Svco0PvP,197533,False,k-pop
65,BOOMBAYAH,SQUARE ONE,https://open.spotify.com/album/0FOOodYRlj7gzh7q7IjmNZ,BLACKPINK,80,2016-08-08,https://open.spotify.com/track/13MF2TYuyfITClL1R2ei6e,240793,False,k-pop
66,祝福,祝福,https://open.spotify.com/album/7KS8ZZpgraGBazVoSeX6O4,YOASOBI,80,2022-10-01,https://open.spotify.com/track/7ajpbW6tBpqUI9foCtwlLw,196235,False,j-pop
67,Hold On Tight,Hold On Tight,https://open.spotify.com/album/4bWGRs1SqNwFXaRDXRAANN,aespa,80,2023-03-30,https://open.spotify.com/track/1o844wI52S3TjXGBwvGcc7,149718,False,k-pop
68,Hurt,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,80,2022-08-01,https://open.spotify.com/track/5expoVGQPvXuwBBFuNGqBd,177946,False,k-pop
69,祝福,祝福,https://open.spotify.com/album/7KS8ZZpgraGBazVoSeX6O4,YOASOBI,80,2022-10-01,https://open.spotify.com/track/7ajpbW6tBpqUI9foCtwlLw,196235,False,japanese
70,メフィスト,メフィスト,https://open.spotify.com/album/4GlhyWqXM0Ir8083Ue9Je0,QUEEN BEE,80,2023-04-20,https://open.spotify.com/track/45LUKiex0D78VuhP3Oz6mG,227320,False,j-dance
71,Typa Girl,BORN PINK,https://open.spotify.com/album/0S4pP8MBY9p7ngFWIZQAJv,BLACKPINK,80,2022-09-16,https://open.spotify.com/track/3BHR1mJOqn2UZyq98YKPgd,179172,True,k-pop
72,Polaroid Love,DIMENSION : ANSWER,https://open.spotify.com/album/3nOj9hsnptBEDt9ie2lra5,ENHYPEN,80,2022-01-10,https://open.spotify.com/track/5elW2CKSoqjYoJ32AGDxf1,184601,False,k-pop
73,Drunk-Dazed,BORDER : CARNIVAL,https://open.spotify.com/album/4LGYBcRsteiXjcPD4QQvxv,ENHYPEN,80,2021-04-26,https://open.spotify.com/track/1wcr8DjnN59Awev8nnKpQ4,193260,False,k-pop
74,LEFT RIGHT,SHOOTING STAR,https://open.spotify.com/album/1Gi6ij4Jxc4qE35i3I0gqS,XG,80,2023-01-25,https://open.spotify.com/track/3v5o91PrUtf0nmO6j8J7dZ,208065,False,k-pop
75,Seven (feat. Latto) (Clean Ver.),Seven (Weekday Ver.),https://open.spotify.com/album/7pPaEvQFccrBU1VXhUWBI7,Jung Kook,80,2023-07-17,https://open.spotify.com/track/50Af7YTMHGNbYyvgofTAGf,184160,False,k-pop
76,ANTIFRAGILE,UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,79,2023-05-01,https://open.spotify.com/track/0bMoNdAnxNR0OuQbGDovrr,184444,False,k-pop
77,HOT,SEVENTEEN 4th Album 'Face the Sun',https://open.spotify.com/album/4lfFgz2rD1irxf7dZhNJht,SEVENTEEN,79,2022-05-27,https://open.spotify.com/track/6I2tqFhk8tq69iursYxuxd,197586,False,k-pop
78,夜に駆ける,THE BOOK,https://open.spotify.com/album/1xhO0GSoezdPJcSuNe1ySv,YOASOBI,79,2021-01-06,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,258838,False,japanese
79,Yet To Come,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,79,2022-06-10,https://open.spotify.com/track/10SRMwb9EuVS1K9rYsBfHQ,193593,False,k-pop
80,Love Shot,LOVE SHOT– The 5th Album Repackage,https://open.spotify.com/album/3r5m8utqRZYJnpep7xxVyq,EXO,79,2018-12-13,https://open.spotify.com/track/0yB4jrSwN0bFtFRDR5vyMj,200306,False,k-pop
81,How You Like That,THE ALBUM,https://open.spotify.com/album/2gNPnKP1PDkB5SZz3IMKuX,BLACKPINK,79,2020-10-02,https://open.spotify.com/track/6bvZRLLkBKkmgpBJTTj3QK,180956,False,k-pop
82,PLAYING WITH FIRE,SQUARE TWO,https://open.spotify.com/album/2Fna4Tb7fme5aHsNMJtVtp,BLACKPINK,79,2016-11-01,https://open.spotify.com/track/7qmvLmX9tyaTiBAVNI6YEn,197288,False,k-pop
83,TATTOO,TATTOO,https://open.spotify.com/album/3VqutKQybsb2z1IT9CDRUE,OFFICIAL HIGE DANDISM,79,2023-04-21,https://open.spotify.com/track/36jIu8oPR1Z4cguMuHxUXA,288099,False,j-pop
84,Subtitle,Subtitle,https://open.spotify.com/album/1v9BX6TLVaStze2oJkb3Jy,OFFICIAL HIGE DANDISM,79,2022-10-12,https://open.spotify.com/track/49F3htNmwzPKFycPdOrDvf,305509,False,j-pop
85,ダンスホール,ダンスホール,https://open.spotify.com/album/3OyEc77lPQ8QOWMIWvZl08,Mrs. GREEN APPLE,79,2022-05-23,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,203149,False,j-pop
86,Tyler Herro,Thats What They All Say,https://open.spotify.com/album/5g2INX6dnMIJG0xKygXwF3,Jack Harlow,79,2020-12-11,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ,156578,True,k-pop
87,SHOOTING STAR,SHOOTING STAR,https://open.spotify.com/album/1Gi6ij4Jxc4qE35i3I0gqS,XG,79,2023-01-25,https://open.spotify.com/track/3IelG5zYpWWCZIH4cqWlPV,203556,False,k-pop
88,夜に駆ける,THE BOOK,https://open.spotify.com/album/1xhO0GSoezdPJcSuNe1ySv,YOASOBI,79,2021-01-06,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,258838,False,j-pop
89,Seven (feat. Latto) (Explicit Ver.),Seven (Weekday Ver.),https://open.spotify.com/album/7pPaEvQFccrBU1VXhUWBI7,Jung Kook,79,2023-07-17,https://open.spotify.com/track/3t1TAfnoXfnMclelI70UaX,184400,True,k-pop
90,WHATS POPPIN,Sweet Action,https://open.spotify.com/album/7AaqMMiYMvnMB3RcS8u3EY,Jack Harlow,79,2020-03-13,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,139741,True,k-pop
91,残響散歌,残響散歌,https://open.spotify.com/album/1gfSftIuafqkGu28ely5z6,Aimer,79,2021-12-06,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO,184893,False,j-pop
92,FEVER,BORDER : CARNIVAL,https://open.spotify.com/album/4LGYBcRsteiXjcPD4QQvxv,ENHYPEN,79,2021-04-26,https://open.spotify.com/track/0UzymivvUH5s8z4PeWZJaK,172106,False,k-pop
93,Perfume,Perfume - The 1st Mini Album,https://open.spotify.com/album/3sVBVr420an61GAwib9AYk,NCT DOJAEJUNG,79,2023-04-17,https://open.spotify.com/track/0jd4aa9XgV5eom0ez0WBrD,167626,False,k-pop
94,ELEVEN,ELEVEN,https://open.spotify.com/album/1XMYvsHRt52sMi6wittWqI,IVE,79,2021-12-01,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr,178453,False,k-pop
95,Broken Melodies,Broken Melodies,https://open.spotify.com/album/6OU3xeJICT2dtRkmsoIR8P,NCT DREAM,79,2023-06-19,https://open.spotify.com/track/4lPrJunJWnw4zGUpa6yWcH,226160,False,k-pop
96,そんなbitterな話,そんなbitterな話,https://open.spotify.com/album/0ssYbSrcAHMWk2EijQAKTP,Vaundy,78,2023-03-13,https://open.spotify.com/track/4QlSFkbRxZWkHDF1MqBaEY,276082,False,j-pop
97,bad,0.1 flaws and all.,https://open.spotify.com/album/0kT2Dn4QknHk92h76ZcMk0,wave to earth,78,2023-04-20,https://open.spotify.com/track/5TZKpQFKCbIlWGD8DzHbC6,263250,False,korean
98,Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,https://open.spotify.com/album/3Y0g1Cgg3DPMvNoaOgfeT7,V,78,2020-03-13,https://open.spotify.com/track/3Wno87vVBVbSVS2vUUFuKC,214258,False,korean
99,群青,THE BOOK,https://open.spotify.com/album/1xhO0GSoezdPJcSuNe1ySv,YOASOBI,78,2021-01-06,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,248026,False,japanese
100,That That (prod. & feat. SUGA of BTS),PSY 9th,https://open.spotify.com/album/7hbSWdxliNs551GXtflIZB,PSY,78,2022-04-29,https://open.spotify.com/track/7GNRUsU3M4XNDDB9xle5Dz,174646,False,korean
101,群青,THE BOOK,https://open.spotify.com/album/1xhO0GSoezdPJcSuNe1ySv,YOASOBI,78,2021-01-06,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,248026,False,j-pop
102,そんなbitterな話,そんなbitterな話,https://open.spotify.com/album/0ssYbSrcAHMWk2EijQAKTP,Vaundy,78,2023-03-13,https://open.spotify.com/track/4QlSFkbRxZWkHDF1MqBaEY,276082,False,japanese
103,紅蓮華,LEO-NiNE,https://open.spotify.com/album/6qi56zXbhq7PU5lvzWNXIO,LiSA,78,2020-10-14,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre,237586,False,j-pop
104,Fighting (Feat. Lee Young Ji),BSS 1st Single Album 'SECOND WIND',https://open.spotify.com/album/4dHtpne5cAAGgDYFNHu7jW,BSS,78,2023-02-06,https://open.spotify.com/track/7eBpUuPnDTfbeP1P4P93CS,204466,False,k-pop
105,Psycho,‘The ReVe Festival’ Finale,https://open.spotify.com/album/3rVtm00UfbuzWOewdm4iYM,Red Velvet,78,2019-12-23,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,210560,False,k-pop
106,Sour Grapes,FEARLESS,https://open.spotify.com/album/4Mc7WwYH41hgUWeKX25Sot,LE SSERAFIM,78,2022-05-02,https://open.spotify.com/track/6wBpO4Xc4YgShnENGSFA1M,196540,False,k-pop
107,bad,0.1 flaws and all.,https://open.spotify.com/album/0kT2Dn4QknHk92h76ZcMk0,wave to earth,78,2023-04-20,https://open.spotify.com/track/5TZKpQFKCbIlWGD8DzHbC6,263250,False,k-pop
108,On The Ground,R,https://open.spotify.com/album/52MYcZ4Hzvy9vJcPicjfHZ,ROSÉ,78,2021-03-12,https://open.spotify.com/track/2xgACMNtJ5YktyvOC83SPO,168085,False,k-pop
109,Bills,DARK BLOOD,https://open.spotify.com/album/7q65W5gVANjh1j1KXLeU0f,ENHYPEN,78,2023-05-22,https://open.spotify.com/track/2nfluhFVrO5OBXPzRWlwlz,175752,False,k-pop
110,Zero,Zero,https://open.spotify.com/album/2zYcjcNUzcgMntymoukwZR,NewJeans,78,2023-04-03,https://open.spotify.com/track/5LMoKDVzW2kDneNu2UbspP,154194,False,k-pop
111,FEARLESS,FEARLESS,https://open.spotify.com/album/4Mc7WwYH41hgUWeKX25Sot,LE SSERAFIM,78,2022-05-02,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj,168437,False,k-pop
112,Sacrifice (Eat Me Up),DARK BLOOD,https://open.spotify.com/album/7q65W5gVANjh1j1KXLeU0f,ENHYPEN,78,2023-05-22,https://open.spotify.com/track/58ItBuVuKc03DvqSeZFnH1,202488,False,k-pop
113,WHISTLE,SQUARE ONE,https://open.spotify.com/album/0FOOodYRlj7gzh7q7IjmNZ,BLACKPINK,78,2016-08-08,https://open.spotify.com/track/6NEoeBLQbOMw92qMeLfI40,211631,False,k-pop
114,Barbie Dreams (feat. Kaliii) [From Barbie The Album],Barbie Dreams (feat. Kaliii) [From Barbie The Album],https://open.spotify.com/album/5x9fQvlmhZqWoifJs9dVVL,FIFTY FIFTY,78,2023-07-06,https://open.spotify.com/track/7njDhlprmHJ1I9pM0rxMON,149438,False,k-pop
115,Candy,Candy - Winter Special Mini Album,https://open.spotify.com/album/6lqazNXadymQLwUh41qW2K,NCT DREAM,78,2022-12-16,https://open.spotify.com/track/27bIik73QCu8Xzt3xpG1bI,217066,False,k-pop
116,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",https://open.spotify.com/album/36jrqYRpGVpJqztuqCii22,Jack Harlow,77,2020-06-24,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,227478,True,k-pop
117,点描の唄,青と夏,https://open.spotify.com/album/5enxwo7c4D5mhXp5f56OLy,Mrs. GREEN APPLE,77,2018-07-31,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV,307066,False,j-pop
118,Promise,Promise,https://open.spotify.com/album/7zugzVgHDiDlcwvsLxz43A,Jimin,77,2018-12-31,https://open.spotify.com/track/2RUcwyW74Sv4VracHFrKdh,151011,False,k-pop
119,All Eyes On Me,ME,https://open.spotify.com/album/2xvV55nQYyhozbXtbqwPql,JISOO,77,2023-03-31,https://open.spotify.com/track/7e4OpsQwklauQSXlBvM5WD,163522,False,k-pop
120,0X1=LOVESONG (I Know I Love You) feat. Seori,The Chaos Chapter: FREEZE,https://open.spotify.com/album/5Zdr9vactwnJH4Vpe9Mid9,TOMORROW X TOGETHER,77,2021-05-31,https://open.spotify.com/track/1Z8TPHiKeCUyClxV6WTTIf,202203,False,k-pop
